"Day","Andalusia","Aragon","Asturias","Balearic Islands","Canary Islands","Cantabria","Castile-La Mancha","Castile and León","Catalonia","Ceuta","Valencian Community","Extremadura","Galicia","Community of Madrid","Melilla","Region of Murcia","Navarre","Basque Country","La Rioja","Spain"
"2020.02.27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.02.28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.02.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.04",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"2020.03.05",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3
"2020.03.06",0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,5
"2020.03.07",0,1,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,1,0,8
"2020.03.08",0,2,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,5,0,17
"2020.03.09",0,2,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,5,0,17
"2020.03.10",0,3,0,0,0,0,0,0,3,0,1,0,0,21,0,0,0,6,1,35
"2020.03.11",0,4,0,0,0,0,0,0,3,0,1,0,0,31,0,0,0,6,2,47
"2020.03.12",0,6,1,1,0,0,1,0,4,0,1,1,0,56,0,0,0,11,2,84
"2020.03.13",0,7,1,1,0,0,5,1,4,0,1,1,0,81,0,0,0,14,2,120
"2020.03.14",2,7,1,1,1,0,6,3,6,0,4,2,0,86,0,0,0,14,3,136
"2020.03.15",6,7,1,1,1,0,10,6,8,0,5,2,2,213,0,0,0,23,3,288
"2020.03.16",7,11,1,1,1,0,17,9,12,0,5,2,2,213,0,0,1,23,4,309
"2020.03.17",11,12,1,1,2,0,17,12,18,0,13,3,3,355,0,0,2,36,5,491
"2020.03.18",19,13,1,1,3,1,28,22,41,0,22,6,3,390,0,0,3,40,5,598
"2020.03.19",23,15,1,2,3,1,42,29,55,0,24,8,4,498,0,0,4,53,5,767
"2020.03.20",30,17,2,2,4,1,42,43,82,0,33,10,5,628,0,0,5,71,7,1002
"2020.03.21",40,22,5,4,7,2,84,55,122,0,50,12,9,804,0,1,9,85,15,1326
"2020.03.22",47,24,8,4,9,5,112,74,191,0,69,14,12,1021,0,1,14,97,18,1720
"2020.03.23",58,32,12,10,11,6,145,102,245,0,94,18,18,1263,0,2,24,120,22,2182
"2020.03.24",87,37,22,10,16,9,216,124,282,0,115,26,20,1535,0,3,31,133,30,2696
"2020.03.25",113,40,25,13,21,14,263,165,516,0,143,39,27,1825,0,5,33,155,37,3434
"2020.03.26",134,48,27,17,24,17,316,206,672,0,167,58,32,2090,1,8,49,180,43,4089
"2020.03.27",144,58,29,22,27,21,367,252,880,0,198,69,43,2412,1,15,58,207,55,4858
"2020.03.28",175,58,33,26,36,22,448,321,1070,1,234,88,47,2757,1,17,70,221,65,5690
"2020.03.29",207,93,41,29,39,26,539,380,1226,1,267,100,60,3082,1,20,84,265,68,6528
"2020.03.30",236,106,49,37,40,27,622,442,1410,1,310,106,66,3392,1,25,102,297,71,7340
"2020.03.31",248,138,55,42,55,37,708,516,1672,1,339,133,84,3603,1,34,113,325,85,8189 
