"Day","Andalusia","Aragon","Asturias","Balearic Islands","Canary Islands","Cantabria","Castile-La Mancha","Castile and León","Catalonia","Ceuta","Valencian Community","Extremadura","Galicia","Community of Madrid","Melilla","Region of Murcia","Navarre","Basque Country","La Rioja","Spain"
"2020.02.27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.02.28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.02.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020.03.16",0,0,3,1,7,10,12,5,0,0,2,4,4,474,0,1,0,5,2,530
"2020.03.17",0,0,3,1,8,10,12,5,0,0,12,5,7,951,0,1,0,11,2,1028
"2020.03.18",38,0,4,4,8,10,15,5,0,0,16,6,7,951,0,1,0,14,2,1081
"2020.03.19",33,0,4,6,9,10,27,27,0,0,19,6,4,941,0,1,0,18,2,1107
"2020.03.20",72,0,12,10,6,10,34,37,150,0,20,7,5,1186,0,1,1,21,13,1585
"2020.03.21",72,0,16,11,7,11,38,54,150,0,25,8,6,1542,0,1,1,165,18,2125
"2020.03.22",38,3,20,17,7,11,48,89,150,0,30,8,16,1899,0,1,4,216,18,2575
"2020.03.23",50,3,21,18,7,11,51,117,644,0,36,6,19,2063,0,1,7,283,18,3355
"2020.03.24",66,3,30,19,8,12,53,140,728,0,37,8,19,2291,0,1,11,344,24,3794
"2020.03.25",71,4,35,28,15,12,71,213,1274,0,44,8,25,3031,0,4,23,466,43,5367
"2020.03.26",77,4,40,39,18,14,95,308,1697,0,57,24,47,3882,0,9,35,621,48,7015
"2020.03.27",92,8,52,67,20,19,153,423,2348,0,73,33,67,5044,0,12,70,814,62,9357
"2020.03.28",139,8,65,80,25,21,197,585,3106,0,92,49,95,6326,0,12,98,1023,364,12285
"2020.03.29",148,8,76,82,30,25,236,752,3455,0,161,51,153,7491,0,16,125,1503,397,14709
"2020.03.30",155,174,78,100,32,24,252,871,4125,0,185,60,168,8301,0,17,161,1646,431,16780
"2020.03.31",160,204,90,111,57,35,296,1028,4966,0,200,91,187,9330,0,20,192,1796,496,19259
