"Day","Spain"
"2020.02.27",16
"2020.02.28",32
"2020.02.29",44
"2020.03.01",66
"2020.03.02",114
"2020.03.03",150
"2020.03.04",198
"2020.03.05",237
"2020.03.06",365
"2020.03.07",430
"2020.03.08",589
"2020.03.09",999
"2020.03.10",1622
"2020.03.11",2128
"2020.03.12",2950
"2020.03.13",4209
"2020.03.14",5753
"2020.03.15",7753
"2020.03.16",9191
"2020.03.17",11178
"2020.03.18",13716
"2020.03.19",17147
"2020.03.20",19980
"2020.03.21",24926
"2020.03.22",28572
"2020.03.23",33089
"2020.03.24",39673
"2020.03.25",47610
"2020.03.26",56188
"2020.03.27",64059
"2020.03.28",72248
"2020.03.29",78797
"2020.03.30",85195
"2020.03.31",94417
