"Day","Spain"
"2020.02.27",0
"2020.02.28",0
"2020.02.29",0
"2020.03.01",0
"2020.03.02",0
"2020.03.03",0
"2020.03.04",1
"2020.03.05",3
"2020.03.06",5
"2020.03.07",8
"2020.03.08",17
"2020.03.09",17
"2020.03.10",35
"2020.03.11",47
"2020.03.12",84
"2020.03.13",120
"2020.03.14",136
"2020.03.15",288
"2020.03.16",309
"2020.03.17",491
"2020.03.18",598
"2020.03.19",767
"2020.03.20",1002
"2020.03.21",1326
"2020.03.22",1720
"2020.03.23",2182
"2020.03.24",2696
"2020.03.25",3434
"2020.03.26",4089
"2020.03.27",4858
"2020.03.28",5690
"2020.03.29",6528
"2020.03.30",7340
"2020.03.31",8189 
